id,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence
3oxCefEI6Tc6Z6t20J4IvH,0.354,0.799,160320,0.381,3.12e-06,0.135,-7.147,0.464,158.02100000000004,0.0488
6uhk9SHuaSqlvG2Dt3Ncnk,0.736,0.602,214907,0.695,0.0,0.191,-5.874,0.0332,150.01,0.604
1psC5iHzQxaTMZ5dWGfM6I,0.00171,0.887,149242,0.568,1.11e-05,0.0812,-5.853,0.3229999999999999,162.03799999999995,0.754
0wH7iJqYQnmUU09YGcQPHo,0.00346,0.546,226787,0.7340000000000001,4.94e-05,0.136,-6.9910000000000005,0.0653,132.0,0.421
2EcQY09CYgJ1qk6H1qZf8h,0.852,0.561,221720,0.286,3.5600000000000005e-05,0.116,-10.917,0.0266,90.00399999999998,0.409
3Ng9R7UMhaaATQdJDsRJNz,0.603,0.8340000000000001,200865,0.535,0.0,0.127,-8.732999999999999,0.172,132.984,0.545
0A6dTlWYD2magT5bqUyZLM,0.992,0.7979999999999999,148034,0.117,0.821,0.114,-16.003,0.0723,137.83,0.192
4l9S9NFztZ0nrMZyakENh2,0.562,0.777,82207,0.213,0.889,0.185,-15.491,0.16,141.19,0.563
3S2XkZJH5P3AqYk8ChYsWB,0.1369999999999999,0.726,242016,0.78,0.914,0.0985,-6.312,0.0414,119.991,0.0742
5EbsXX8qzNSnD88ulWSXGW,0.225,0.688,206973,0.63,0.0,0.135,-5.726,0.0318,141.02100000000004,0.583
3b5Li4QKDVBx1x7fQuu54a,0.0428,0.69,192112,0.8759999999999999,0.0,0.147,-4.159,0.059,123.994,0.493
0FfX0nofboxZjP0diT1eFv,0.00767,0.328,262600,0.674,0.0398,0.29,-7.487999999999999,0.105,177.007,0.129
73zohs74P55sdkTRIzIuqN,0.568,0.162,152661,0.998,0.901,0.969,-17.132,0.0473,131.602,1e-05
73280zFVJeotiaimmpMAlp,0.236,0.687,147750,0.5820000000000001,0.0,0.0935,-7.369,0.271,132.039,0.802
2ZN1EnypRwsD38EoFRwmu9,0.0295,0.73,180867,0.581,1.3e-05,0.106,-5.8329999999999975,0.0828,137.98,0.359
7eKpWdTDReOTNn1mXPyuzf,0.0827,0.72,40000,0.85,0.0,0.113,-3.939,0.0936,95.519,0.405
1pgSiIvNXVQAKlMvjvqL0r,0.993,0.38,160467,0.00163,0.96,0.134,-26.82,0.0472,69.92399999999999,0.402
6KjbNLbRjuoa8rEq5yNA6H,0.0121,0.6729999999999999,208000,0.514,8.499999999999999e-05,0.385,-10.772,0.0465,100.035,0.312
2yg9UN4eo5eMVJ7OB4RWj3,0.133,0.607,136187,0.596,0.0,0.123,-9.09,0.358,77.324,0.149
